20000 999387
1 105 30
1 711 16
1 1598 35
1 2524 94
1 2568 16
1 2745 54
1 2837 74
1 3099 55
1 3881 18
1 4748 60
1 4904 31
1 5321 96
1 6522 32
1 7453 99
1 8055 0
1 8152 12
1 8810 26
1 9046 98
1 9600 53
1 9661 99
1 9811 82
1 9953 23
1 12050 21
1 12052 64
1 12112 23
1 12145 14
1 12496 83
1 12892 79
1 15428 78
1 15565 61
1 15717 89
1 15959 14
1 16122 23
1 16384 34
1 16869 28
1 17430 46
1 17514 7
1 17625 44
1 17919 61
1 17929 55
1 17990 90
1 18331 25
1 18784 94
1 19500 84
2 140 38
2 790 35
2 1558 30
2 2501 99
2 3174 55
2 3477 38
2 4426 36
2 4860 4
2 5572 26
2 5653 35
2 5770 35
2 6091 36
2 6235 84
2 6616 69
2 6708 94
2 6785 51
2 6836 29
2 6972 21
2 7145 13
2 7194 68
2 7620 100
2 8179 22
2 8292 64
2 8317 70
2 8956 12
2 9350 89
2 9367 2
2 10953 33
2 11211 41
2 12428 20
2 12676 70
2 12808 70
2 13395 11
2 13400 100
2 13617 62
2 14724 -2
2 16070 26
2 16244 97
2 16616 45
2 16624 77
2 16951 70
2 17038 9
2 17179 100
2 17924 45
2 17976 41
2 17986 30
2 18274 17
2 18374 84
2 18768 59
2 19745 17
2 19938 96
3 19 69
3 1028 29
3 1322 95
3 1446 64
3 1897 87
3 1921 52
3 1931 18
3 2205 84
3 2576 2
3 3471 17
3 3738 42
3 3951 64
3 4185 32
3 5188 16
3 7566 75
3 8277 73
3 9642 83
3 9808 88
3 10686 30
3 12106 15
3 12363 25
3 12940 43
3 13259 93
3 14219 56
3 14428 54
3 15292 76
3 15674 98
3 15905 48
3 16852 33
3 17347 1
3 17814 27
3 18199 27
3 18480 19
3 18574 87
3 18687 73
3 19758 58
4 174 93
4 229 6
4 1080 59
4 1195 19
4 1241 1
4 1383 81
4 2691 84
4 3001 54
4 3231 55
4 3968 69
4 4081 45
4 4166 0
4 5323 0
4 5809 86
4 6099 5
4 6325 42
4 6676 27
4 6783 36
4 7328 11
4 7665 21
4 7806 95
4 7820 90
4 8292 64
4 8374 13
4 8721 15
4 8995 37
4 10425 59
4 11032 16
4 11054 44
4 11458 79
4 12509 29
4 13062 18
4 13070 39
4 15089 12
4 15965 20
4 16457 40
4 16596 2
4 16706 61
4 16826 29
4 16880 61
4 17905 12
4 18004 2
4 18169 23
4 18620 28
4 19412 54
4 19678 53
5 1728 67
5 1904 2
5 2087 37
5 2507 46
5 2962 75
5 3420 16
5 3584 14
5 5046 45
5 5671 0
5 6140 11
5 6723 52
5 6764 72
5 7131 71
5 8410 68
5 8590 22
5 8939 24
5 8994 34
5 9305 45
5 9364 15
5 9791 7
5 10113 11
5 10330 79
5 10345 89
5 10498 45
5 11463 25
5 11507 71
5 12035 11
5 13221 31
5 13890 64
5 13958 6
5 14496 57
5 14674 53
5 14940 47
5 15090 45
5 15267 22
5 15416 78
5 15666 60
5 16325 35
5 16363 80
5 16368 14
5 16640 78
5 18914 41
5 19199 68
5 19396 57
5 19866 69
6 491 44
6 1159 58
6 1891 99
6 2247 58
6 2504 20
6 2636 99
6 2695 72
6 3432 33
6 4101 94
6 4135 41
6 4195 47
6 4263 32
6 4508 3
6 4846 44
6 5886 94
6 6713 54
